event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
149,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/17/2016,4/17/2016,Denver
150,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/18/2016,4/18/2016,Denver
151,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/19/2016,4/19/2016,Denver
152,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/20/2016,4/20/2016,Denver
153,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/22/2016,4/22/2016,Denver
154,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/23/2016,4/23/2016,Denver
155,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/24/2016,4/24/2016,Denver
156,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/25/2016,4/25/2016,Denver
157,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/26/2016,4/26/2016,Denver
158,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/27/2016,4/27/2016,Denver
159,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/29/2016,4/29/2016,Denver
160,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/30/2016,4/30/2016,Denver
161,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/1/2016,5/1/2016,Denver
162,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/2/2016,5/2/2016,Denver
163,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/3/2016,5/3/2016,Denver
164,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/4/2016,5/4/2016,Denver
165,Spread The Word Music Festival,music,"4602 Humboldt St, Denver, CO 80216",40500,5/5/2016,5/8/2016,Denver
166,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/5/2016,5/5/2016,Denver
167,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/6/2016,5/6/2016,Denver
168,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/7/2016,5/7/2016,Denver
169,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/8/2016,5/8/2016,Denver
170,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/9/2016,5/9/2016,Denver
171,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/10/2016,5/10/2016,Denver
172,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/11/2016,5/11/2016,Denver
173,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/13/2016,5/13/2016,Denver
174,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/14/2016,5/14/2016,Denver
175,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/15/2016,5/15/2016,Denver
176,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/17/2016,5/17/2016,Denver
177,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/18/2016,5/18/2016,Denver
178,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/19/2016,5/19/2016,Denver
179,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/20/2016,5/20/2016,Denver
180,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/21/2016,5/21/2016,Denver
181,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/23/2016,5/23/2016,Denver
182,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/24/2016,5/24/2016,Denver
183,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/25/2016,5/25/2016,Denver
184,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/26/2016,5/26/2016,Denver
185,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/27/2016,5/27/2016,Denver
